AAS,2029-12-31
ABCLER ABNAT,2026-06-30
ABELCET,2025-12-31
ABERALGINA,2026-06-30
ABLOK,2025-05-31
ABLOK PLUS,2029-06-30
ABRAXANE,2027-04-30
ABRETIA,2027-02-28
ABRIFIT,2029-07-31
ABRILAR,2028-05-31
ACALMILFITO,2031-03-31
ACCUVIT,2027-03-31
ACECLO-GRAN,2029-02-28
ACEDILAT,2022-09-30
ACEFLOR,2027-07-31
ACERATUM,2025-06-30
ACERTALIX,2029-09-30
ACERTANLO,2027-01-31
ACERTIL,2029-01-31
ACESYL,2027-03-31
ACETATO DE CASPOFUNGINA,2025-01-31
ACETATO DE DESMOPRESSINA,2027-10-31
ACETATO DE GLATIRÂMER,2030-11-30
ACETATO DE SÓDIO,2025-05-31
"ACETATO DE ZINCO 0,5 MEQ/ML",2030-03-31
ACETAZONA,2026-08-31
ACETICIL,2029-05-31
ACETILDOR,2028-11-30
ACEVITON,2029-09-30
ACEZO,2031-08-31
ACFOL,2028-10-31
ACHEFLAN,2029-11-30
ACICLOMED,2029-03-31
ACICLOVIR SÓDICO,2030-07-31
ACIDO ACETILSALICILICO,2026-06-30
ACITRETINA,2030-06-30
ACIVIRAX,2025-08-31
ACLASTA,2025-08-31
ACNASE,2027-11-30
ACNOVA,2026-12-31
ACTEMRA,2029-01-31
ACTIFEDRIN,2028-02-29
ACTILYSE,2028-03-31
ACTIVE PLUS,2030-03-31
ACU FRESH,2026-07-31
ACULAR,2029-05-31
AD FURP,2028-02-29
AD-MUC,2028-01-31
AD-VITAM,2025-04-30
ADACEL POLIO,2026-03-31
ADACNE,2025-12-31
ADACNE CLIN,2027-02-28
ADAKVEO,2023-03-31
ADALAT,2026-04-30
ADAPEL,2028-11-30
ADAPTIS GEL,2029-07-31
ADCETRIS,2029-09-30
ADDAVEN,2030-07-31
ADDERA D3,2028-09-30
ADEFORTE,2027-04-30
ADEMPAS®,2025-10-31
ADENOCARD,2025-06-30
ADENON,2026-04-30
ADILOZ,2027-07-31
ADINOS,2029-05-31
ADINOS GEN,2026-08-31
ADIPEPT,2028-12-31
ADOLESS,2028-05-31
ADORLAN,2030-07-31
ADREN,2028-06-30
ADRIBLASTINA,2028-02-29
AERO-IFAL,2029-07-31
AERODINI,2026-03-31
AERODIVENT,2025-06-30
AEROFLUX,2028-06-30
AEROFRIN,2029-06-30
AEROGOLD,2029-08-31
AEROLIN,2026-08-31
AEROMED,2028-09-30
AEROTRAT,2027-07-31
AFINITOR,2029-06-30
AFOLIC,2026-12-31
AFOLIC INFANTIL,2025-12-31
AFOPIC,2026-12-31
AFRAT,2026-02-28
AFREZZA,2029-06-30
AFRIN,2030-03-31
AFSTYLA,2029-12-31
AFTINE,2025-07-31
AGIOLAX,2025-06-30
AGLIX,2023-04-30
AGLUCOSE,2028-02-29
AGOXOM,2030-04-30
AGRASTAT,2025-11-30
AGREG,2030-05-31
AGRITOSS,2029-11-30
AGUA INGLESA CATARINENSE,2029-10-31
AGUA PARA INJETAVEIS,2029-07-31
AGUD,2028-11-30
AH-ZUL,2026-10-31
AIPRI,2028-01-31
AITRAVIC,2022-12-31
AIXA,2028-03-31
AJOVY,2029-12-31
AKALMESE,2031-09-30
AKSSUS,2029-06-30
AKYNZEO,2027-12-31
ALANDRE,2031-03-31
ALBEL,2029-08-31
ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL,2025-08-31
ALBICON,2025-03-31
ALBIOMIN,2028-11-30
ALBISTIN,2026-02-28
ALBUMAX,2026-09-30
ALBUMINA HUMANA GRIFOLS,2025-12-31
ALBUREX 20,2030-02-28
ALCACHOFRA  HERBARIUM,2028-05-31
ALCACHOFRA ASPEN PHARMA,2039-12-31
ALCACHOFRA MULTILAB,2028-06-30
ALCACHOFRA NATULAB,2028-07-31
ALCACHOFRA VIDORA,2029-07-31
ALCACHOFRA VITAMED,2031-07-31
ALCACHOFRAX,2026-07-31
ALCAGEST,2038-11-30
ALCANATAN,2025-08-31
ALCYTAM,2028-05-31
ALD MUNE,2025-07-31
ALDAZIDA,2025-01-31
ALDIJET,2025-12-31
ALDOMET,2025-02-28
ALDOSTERIN,2027-04-30
ALDURAZYME,2025-08-31
ALECENSA,2028-12-31
ALENDIL,2028-08-31
ALENDIL CÁLCIO D,2026-01-31
ALENDRUS,2027-01-31
ALENTHUS XR,2027-01-31
ALERADINA,2027-01-31
ALERFIN,2028-05-31
ALERGALIV,2025-12-31
ALERGIDEX,2028-12-31
ALERGOMINE,2025-04-30
ALFACRIS,2029-08-31
ALFAINTERFERONA 2B,2025-04-30
ALFAINTERFERONA 2B (RECOMBINANTE),2029-01-31
ALFAST,2029-09-30
ALFRON,2027-01-31
ALGEXIN COMPOSTO,2027-03-31
ALGICOD,2026-10-31
ALGIE,2028-07-31
ALGY-FLANDERIL,2025-05-31
ALICURA,2028-11-30
ALIMAX,2029-10-31
ALIMTA,2029-09-30
ALIVBABY,2030-08-31
ALIVIOL,2025-02-28
ALIVPRESS,2029-02-28
ALKERAN,2029-08-31
ALLEXOFEDRIN,2028-09-30
ALLEXOFEDRIN D,2028-09-30
ALLEXOFEDRIN PEDIÁTRICO,2024-12-31
ALLFORT,2023-02-28
ALLOVITA,2029-09-30
ALLUNY,2028-12-31
ALLURENE,2026-11-30
ALOFF,2029-08-31
ALOFF XPE,2029-05-31
ALOIS DUO,2030-02-28
ALOXIDIL,2027-04-30
ALPES,2027-02-28
ALPES XL,2031-08-31
ALPHABRIN,2029-01-31
ALPHACAINE,2027-10-31
ALPHAGAN,2027-03-31
